"gene"	"avg_log2fc"	"comb_adjpval"
"506"	"YCL005W-A"	-0.148986748830582	1
"507"	"YCL005W"	-0.126204673326959	1
"508"	"YCL008C"	0.380483758090168	0.999999999999956
"509"	"YCL009C"	0.618980990619793	1
"510"	"YCL010C"	0.416625119751482	1
"511"	"YCL011C"	-0.0550120340083972	1
"512"	"YCL012C"	-0.0547923278419355	1
"513"	"YCL014W"	0.0711438942345518	1
"514"	"YCL016C"	0.0819258565968652	1
"515"	"YCL017C"	0.122114259558613	1
"516"	"YCL018W"	0.00572697744717085	1
"517"	"YCL021W-A"	0.312115438174244	1
"518"	"YCL024W"	-0.143399729706112	1
"519"	"YCL025C"	0.013246159590927	1
"520"	"YCL026C-A"	-0.230280492699746	1
"521"	"YCL026C-B"	0.117644534985228	1
"522"	"YCL027W"	0.018332962705303	1
"523"	"YCL028W"	-0.180108301432759	0.999999999087477
"524"	"YCL029C"	-0.321106692789501	1
"525"	"YCL030C"	-1.39955069895551	0.268172830845803
"526"	"YCL031C"	0.173209444061613	1
"527"	"YCL032W"	-0.0262342393602242	1
"528"	"YCL033C"	-0.122003138396161	1
"529"	"YCL034W"	0.288020260557104	1
"530"	"YCL035C"	0.000147928975503132	1
"531"	"YCL036W"	0.474828650304303	1
"532"	"YCL038C"	-0.0102094958703633	1
"533"	"YCL039W"	0.121716854759297	1
"534"	"YCL040W"	0.0431208589299445	1
"535"	"YCL043C"	0.654083914645057	0.999978639642304
"536"	"YCL042W"	-0.106263126514536	1
"537"	"YCL044C"	0.0941133732046129	1
"538"	"YCL045C"	0.142725822140995	1
"539"	"YCL047C"	0.141094431790469	1
"540"	"YCL048W-A"	0.373716696482377	1
"541"	"YCL048W"	-0.00612595783233303	1
"542"	"YCL049C"	-0.196044644464581	1
"543"	"YCL050C"	0.18341056052729	1
"544"	"YCL051W"	-0.14320468660331	0.999978639642304
"545"	"YCL052C"	0.0262144872185598	0.999999999087477
"546"	"YCL054W"	0.120644627051745	1
"547"	"YCL055W"	-0.0456550137566497	1
"548"	"YCL056C"	-0.248751514203893	1
"549"	"YCL057C-A"	-0.367492841916239	1
"550"	"YCL057W"	-0.12446713042968	1
"551"	"YCL058C"	-0.4855842346795	1
"552"	"YCL058W-A"	-0.412304152867439	0.999999999999956
"553"	"YCL059C"	-0.0141826544986318	1
"554"	"YCL061C"	0.254415998975196	1
"555"	"YCL063W"	-0.00563572171624877	1
"556"	"YCL064C"	0.223133726095508	1
"557"	"YCL068C"	-0.277167569070151	1
"558"	"YCL069W"	0.00145888366047892	1
"559"	"YCL073C"	-0.0457172814166096	0.999999999999956
"560"	"YCR001W"	0.16486910388376	1
"561"	"YCR003W"	-0.0838396519595003	0.999978639642304
"562"	"YCR002C"	0.0778324876915275	1
"563"	"YCR004C"	0.168765095212303	1
"564"	"YCR005C"	0.12734205435886	1
"565"	"YCR006C"	0.148001361510447	0.999999999999956
"566"	"YCR007C"	-0.288059150538879	1
"567"	"YCR008W"	-0.266515487560851	1
"568"	"YCR009C"	0.256920559800651	1
"569"	"YCR010C"	-0.109512566456276	1
